metric_name,model,condition,value,numerator,denominator
accuracy,gpt-5.4,claim_only,92.00,46,50
accuracy,gpt-5.4,claim_plus_evidence,94.00,47,50
evidence_gain_pp,gpt-5.4,claim_plus_evidence_minus_claim_only,2.00,,
evidence_failure_rate_percent,gpt-5.4,claim_plus_evidence,6.00,3,50
accuracy,gpt-5.4-mini,claim_only,78.00,39,50
accuracy,gpt-5.4-mini,claim_plus_evidence,96.00,48,50
evidence_gain_pp,gpt-5.4-mini,claim_plus_evidence_minus_claim_only,18.00,,
evidence_failure_rate_percent,gpt-5.4-mini,claim_plus_evidence,4.00,2,50
